descripcion	canntidad	valor	fecha							
PAPA MARGARITA   	1	2900	15/04/2025							
AZUCAR MANUELI   	1	5250	15/04/2025							
AZUCAR MANUELI   	1	5250	15/04/2025							
AZUCAR MANUELI   	1	2600	15/04/2025							
VASO 5 ONZAS T   	3	2250	15/04/2025							
VASO 5 ONZAS T   	1	2200	15/04/2025							
MEZCLADORES TI   	1	1250	15/04/2025							
CAFE AGUILA RO   	1	14100	15/04/2025							
CAFE AGUILA RO   	1	14100	15/04/2025							
CAFE AGUILA RO   	1	14100	15/04/2025							
MUSTANG AZUL P   	1	10900	15/04/2025							
LUCKY GIN X 10   	1	6400	15/04/2025							
ROTHMANS GRIS    	1	5600	15/04/2025							
TODORICO BACAN   	1	7500	15/04/2025							
COMPOTA S/J PE   	1	3750	15/04/2025							
SUPER LONCHERA   	1	12850	15/04/2025							
JUGO HIT SURTI   	1	6900	15/04/2025							
AVENA HOJUELAS   	1	6800	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
ACEITE SOLISOY   	1	2300	15/04/2025							
AGUA PURA CON    	1	3500	15/04/2025							
TE HINDU X 12    	1	3950	15/04/2025							
LECHE COLANTA    	1	8200	15/04/2025							
MOSTAZA RANCHE   	1	6800	15/04/2025							
CHORIZO SANTAR   	1	9250	15/04/2025							
PAN PERRO  X 6   	1	3600	15/04/2025							
JABON PALMOLIV   	1	3600	15/04/2025							
JABON PALMOLIV   	1	3600	15/04/2025							
CREMA DENT COL   	1	12700	15/04/2025							
ATUN VAN CAMPS   	1	8000	15/04/2025							
COCA COLA 1.5    	1	5700	15/04/2025							
CAFE OMA X 500   	1	19700	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
MEZCLADORES TI   	2	1250	15/04/2025							
DESOD SPEED ST   	1	1250	15/04/2025							
DESOD SPEED ST   	1	1250	15/04/2025							
ARENA GATOS GA   	1	16900	15/04/2025							
HUEVO X 15 UND   	1	8400	15/04/2025							
HUEVO X 15 UND   	1	8400	15/04/2025							
CHEETOS BOLI Q   	1	5800	15/04/2025							
QUATRO 1.5       	1	4500	15/04/2025							
CHEETOS MAXI N   	1	1600	15/04/2025							
BUBBALOO X UND   	2	200	15/04/2025							
BUBBALOO X UND   	2	200	15/04/2025							
PEDIGRRE POUCH   	1	3300	15/04/2025							
PEDIGREE POUCH   	1	3300	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
LECHE ALQUERIA   	1	38950	15/04/2025							
CEPILLO DENTAL   	1	5950	15/04/2025							
CEPILLO DENTAL   	1	5950	15/04/2025							
HUEVO AA X 30    	1	14750	15/04/2025							
AZUCAR MANUELI   	1	2600	15/04/2025							
CAFE SELLO ROJ   	1	1750	15/04/2025							
CAFE SELLO ROJ   	1	1750	15/04/2025							
HUEVO A BOLSA    	1	2450	15/04/2025							
HUEVO A BOLSA    	1	2450	15/04/2025							
LECHE COORA DE   	1	4800	15/04/2025							
ESPONJA ORO PL   	1	1650	15/04/2025							
CREMA COLGATE    	1	3700	15/04/2025							
ARROZ ROA INTE   	1	6100	15/04/2025							
PAN HAMBURGUES   	1	4000	15/04/2025							
PAN HAMBURGUES   	1	4000	15/04/2025							
PAN HAMBURGUES   	1	4000	15/04/2025							
CHORIZO CAMPES   	1	8600	15/04/2025							
SALSA CON MOST   	1	2500	15/04/2025							
MAYONESA FRUCO   	1	2900	15/04/2025							
MAYONESA FRUCO   	1	2900	15/04/2025							
SALSA DE TOMAT   	1	2700	15/04/2025							
SALSA BBQ COMA   	1	4150	15/04/2025							
SALSA CON MOST   	1	2500	15/04/2025							
PAPA CABELLO D   	1	4300	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
AVENA HOJUELAS   	1	5200	15/04/2025							
NUTRECAT HOME    	1	9600	15/04/2025							
ALIM GATOS DON   	1	6400	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
UVAS CHEVERES    	1	3300	15/04/2025							
SPRITE LIMA LI   	1	4500	15/04/2025							
LUCKY STRIKE A   	1	6400	15/04/2025							
HUEVO AA X 30    	1	14750	15/04/2025							
AREPA PAISA OB   	1	2300	15/04/2025							
LAVAPLATOS LIQ   	1	3500	15/04/2025							
HUEVO AA X 30    	1	15100	15/04/2025							
CHOCOLATINA JU   	1	3100	15/04/2025							
CHOCOLATINA JU   	1	5600	15/04/2025							
CHOCOLATE LA E   	1	9450	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
SERVILLETA COO   	1	4400	15/04/2025							
TOA COCINA FAV   	1	6600	15/04/2025							
PANELA PASTILL   	1	2700	15/04/2025							
PEPSI PET 2.5    	1	5000	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
PAN INTEGRAL M   	1	6500	15/04/2025							
SALCHICHA PERR   	1	4200	15/04/2025							
LECHE DO?A LEC   	1	4200	15/04/2025							
AGUILA LATA 35   	2	17900	15/04/2025							
HUEVO X 15 UND   	1	8400	15/04/2025							
HUEVO A BOLSA    	1	2450	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
SOPA AJINOMEN    	1	2950	15/04/2025							
SOPA AJINOMEN    	1	2950	15/04/2025							
DESOD YODORA T   	1	3450	15/04/2025							
HUEVO X 15 UND   	1	8400	15/04/2025							
PASTA LA MU?EC   	1	3400	15/04/2025							
JABON PROTEX O   	1	3700	15/04/2025							
CHOCOLATE QUES   	1	6050	15/04/2025							
PAPA MARGARITA   	1	2900	15/04/2025							
AZUCAR MANUELI   	1	5250	15/04/2025							
AZUCAR MANUELI   	1	5250	15/04/2025							
AZUCAR MANUELI   	1	2600	15/04/2025							
VASO 5 ONZAS T   	3	2250	15/04/2025							
VASO 5 ONZAS T   	1	2200	15/04/2025							
MEZCLADORES TI   	1	1250	15/04/2025							
CAFE AGUILA RO   	1	14100	15/04/2025							
CAFE AGUILA RO   	1	14100	15/04/2025							
CAFE AGUILA RO   	1	14100	15/04/2025							
MUSTANG AZUL P   	1	10900	15/04/2025							
LUCKY GIN X 10   	1	6400	15/04/2025							
ROTHMANS GRIS    	1	5600	15/04/2025							
TODORICO BACAN   	1	7500	15/04/2025							
COMPOTA S/J PE   	1	3750	15/04/2025							
SUPER LONCHERA   	1	12850	15/04/2025							
JUGO HIT SURTI   	1	6900	15/04/2025							
AVENA HOJUELAS   	1	6800	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
BOLSA PARA EMP   	1	300	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
ACEITE SOLISOY   	1	2300	15/04/2025							
AGUA PURA CON    	1	3500	15/04/2025							
TE HINDU X 12    	1	3950	15/04/2025							
LECHE COLANTA    	1	8200	15/04/2025							
MOSTAZA RANCHE   	1	6800	15/04/2025							
CHORIZO SANTAR   	1	9250	15/04/2025							
PAN PERRO  X 6   	1	3600	15/04/2025							
JABON PALMOLIV   	1	3600	15/04/2025							
JABON PALMOLIV   	1	3600	15/04/2025							
CREMA DENT COL   	1	12700	15/04/2025							
ATUN VAN CAMPS   	1	8000	15/04/2025							
COCA COLA 1.5    	1	5700	15/04/2025							
CAFE OMA X 500   	1	19700	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
MEZCLADORES TI   	2	1250	15/04/2025							
DESOD SPEED ST   	1	1250	15/04/2025							
DESOD SPEED ST   	1	1250	15/04/2025							
ARENA GATOS GA   	1	16900	15/04/2025							
HUEVO X 15 UND   	1	8400	15/04/2025							
HUEVO X 15 UND   	1	8400	15/04/2025							
CHEETOS BOLI Q   	1	5800	15/04/2025							
QUATRO 1.5       	1	4500	15/04/2025							
CHEETOS MAXI N   	1	1600	15/04/2025							
BUBBALOO X UND   	2	200	15/04/2025							
BUBBALOO X UND   	2	200	15/04/2025							
PEDIGRRE POUCH   	1	3300	15/04/2025							
PEDIGREE POUCH   	1	3300	15/04/2025							
HUEVO EXTRA X    	1	16700	15/04/2025							
LECHE ALQUERIA   	1	38950	15/04/2025							
CEPILLO DENTAL   	1	5950	15/04/2025							
CEPILLO DENTAL   	1	5950	15/04/2025							
HUEVO AA X 30    	1	14750	15/04/2025							
ARROZ COORATIE   	1	2150	16/04/2025							
ARROZ COORATIE   	1	2150	16/04/2025							
JABON JYJ  ALO   	1	3600	16/04/2025							
QUESADILLO       	1	2700	16/04/2025							
MINI PINGUINOS   	1	10900	16/04/2025							
PAN TAJADO COM   	1	3350	16/04/2025							
CALADITAS INTE   	1	6900	16/04/2025							
CALADITAS INTE   	1	6900	16/04/2025							
COCA COLA ZERO   	1	2200	16/04/2025							
ACQUA P FRUTOS   	1	3000	16/04/2025							
AGUA H2OH 1.5    	1	4000	16/04/2025							
BON YURT ALPIN   	1	3900	16/04/2025							
VIVAPLATANO X    	1	2150	16/04/2025							
CREMA LA SOPER   	1	2600	16/04/2025							
ALCAPARRAS DCO   	1	4900	16/04/2025							
COCA COLA NO R   	1	3600	16/04/2025							
FABULOSO FLORA   	1	1950	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
SOPA AJINOMEN    	1	2950	16/04/2025							
ACHIRAS COLACI   	1	2300	16/04/2025							
GUANTE COORATI   	1	6750	16/04/2025							
BLANCOX REP RE   	1	1600	16/04/2025							
HUEVO EXTRA UN   	1	600	16/04/2025							
CHOCOCONO        	1	2900	16/04/2025							
COCA COLA ZERO   	1	2200	16/04/2025							
QUATRO X 400     	1	2500	16/04/2025							
DETER ARIEL RE   	1	5500	16/04/2025							
VELADORA BELLA   	1	2700	16/04/2025							
PASTA CABELLO    	1	2200	16/04/2025							
SALCHICHON AHU   	1	8200	16/04/2025							
SALSA DE SOYA    	1	2700	16/04/2025							
DETER COORA LI   	1	10450	16/04/2025							
COSTE?A LATA G   	1	2200	16/04/2025							
COSTE?A LATA G   	1	2200	16/04/2025							
GALLETA FESTIV   	1	9700	16/04/2025							
FINAS HIERBAS    	1	2650	16/04/2025							
TRICOMPLETO EL   	1	1950	16/04/2025							
LINAZA MOLIDA    	1	3100	16/04/2025							
FERRERO ROCHER   	1	12800	16/04/2025							
ENCENDEDOR FRA   	1	1250	16/04/2025							
FOSFOROS EL SO   	1	3000	16/04/2025							
SALCHICHA PERR   	1	5650	16/04/2025							
GALLETA WAFER    	1	3200	16/04/2025							
SALSA DE TOMAT   	1	1600	16/04/2025							
RANCHERA 5 PAC   	1	5900	16/04/2025							
JABON PURO FUE   	1	1850	16/04/2025							
DONKAT GATICOS   	1	12650	16/04/2025							
LAVALOZA LA JO   	1	3300	16/04/2025							
GASEOSA COLOMB   	1	5000	16/04/2025							
SPAGUETTI DORI   	1	2350	16/04/2025							
RON SANTA FE x   	1	14800	16/04/2025							
LECHE COORA EN   	1	20400	16/04/2025							
VASO 5 ONZAS T   	6	2200	16/04/2025							
VASO 7 ONZ T T   	1	2200	16/04/2025							
VASO 7 ONZ T T   	1	2200	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
HELADO CASERO    	1	2000	16/04/2025							
HELADO CASERO    	1	2000	16/04/2025							
GASEOSA POSTOB   	1	12450	16/04/2025							
HELADO CASERO    	1	2000	16/04/2025							
POLET BAILEYS    	1	6200	16/04/2025							
GELATINA COORA   	1	3800	16/04/2025							
COCA COLA 3 LI   	1	8900	16/04/2025							
CERVEZA AGUILA   	1	3300	16/04/2025							
CERVEZA AGUILA   	1	3300	16/04/2025							
CERA EGO X 60    	1	4300	16/04/2025							
SOFLAN FRESA Y   	1	3400	16/04/2025							
ATUN ACEITE GI   	1	5200	16/04/2025							
COCA COLA 1.5    	1	5700	16/04/2025							
LENTEJA COORAT   	1	8150	16/04/2025							
PANELA PASTILL   	1	2700	16/04/2025							
ARROZ FLOR HUI   	1	14300	16/04/2025							
BOLSA FAMILIAR   	1	2300	16/04/2025							
PH FAMILIA MEG   	1	9500	16/04/2025							
DUCALES TACO X   	1	5600	16/04/2025							
TOSTADAS GUADA   	1	3400	16/04/2025							
MOGOLLA INTEGR   	1	8300	16/04/2025							
AGUA CRISTAL 6   	1	3800	16/04/2025							
AGUA CRISTAL 6   	1	3800	16/04/2025							
AZUCAR MANUELI   	1	2600	16/04/2025							
JABON PROTEX A   	1	3700	16/04/2025							
RANCHERA X 3 U   	1	4200	16/04/2025							
PANELA PASTILL   	1	2700	16/04/2025							
ATUN VAN CAMPS   	1	8050	16/04/2025							
GARBANZO COORA   	1	4950	16/04/2025							
BOLSA PARA EMP   	2	300	16/04/2025							
DET AS BICARBO   	1	9700	16/04/2025							
AGUA PURA CON    	1	3500	16/04/2025							
BOCADILLO COMB   	1	1000	16/04/2025							
MANI ESPECIAL    	1	2000	16/04/2025							
ATUN BARY LOMI   	1	6600	16/04/2025							
PALO LOCO        	1	3000	16/04/2025							
PALO LOCO        	1	3000	16/04/2025							
PALETA PASION    	1	3400	16/04/2025							
CAFE SELLO ROJ   	1	5950	16/04/2025							
SALCHICHON CER   	3	2500	16/04/2025							
SALCHICHON CER   	1	2500	16/04/2025							
SOPA AJINOMEN    	1	3000	16/04/2025							
SOPA AJINOMEN    	1	3000	16/04/2025							
ROTHMANS BLANC   	1	4200	16/04/2025							
TOA NUBE NATUR   	1	6500	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
TROCIPOLLP GRA   	1	4500	16/04/2025							
DOG CHOW POUCH   	1	3200	16/04/2025							
CIPACAT X 500    	1	4800	16/04/2025							
CIPACAT X 500    	1	4800	16/04/2025							
PANELA PASTILL   	1	2700	16/04/2025							
CHOCOLATE ZB C   	1	12200	16/04/2025							
CAFE AGUILA RO   	1	4900	16/04/2025							
ARROZ CASANARE   	1	4700	16/04/2025							
LENTEJA COORAT   	1	4100	16/04/2025							
AVENA EN HOJUE   	1	1950	16/04/2025							
SPAGUETTI DORI   	1	2350	16/04/2025							
FIDEOS SAN REM   	1	1600	16/04/2025							
ACEITE OLIOSOY   	1	10200	16/04/2025							
TOSTADAS GUADA   	1	3400	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
ARROZ ROA X 5    	1	22400	16/04/2025							
GOMAS TRULULU    	1	2250	16/04/2025							
GOMAS TRULULU    	1	2000	16/04/2025							
MANIMOTO X 70    	1	2700	16/04/2025							
BBB              	6	600	16/04/2025							
CHOCOLATINA IT   	1	2550	16/04/2025							
GOMAS TRULULU    	1	2000	16/04/2025							
AZUCAR MANUELI   	1	2600	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
KUMIS ALPINA B   	4	8550	16/04/2025							
COCA COLA 1.5    	1	5700	16/04/2025							
MAIZ PETO LIBR   	1	1450	16/04/2025							
MAIZ PETO LIBR   	1	1450	16/04/2025							
MAIZ PETO LIBR   	1	1450	16/04/2025							
MAIZ PETO LIBR   	1	1450	16/04/2025							
CANELA ASTILLA   	1	6000	16/04/2025							
COCA COLA 250    	1	1750	16/04/2025							
AGUARDIENTE NE   	1	11450	16/04/2025							
HUEVO A X 30 U   	1	13950	16/04/2025							
FOSFOROS EL SO   	1	3000	16/04/2025							
ARROZ COORATIE   	1	20450	16/04/2025							
CERVEZA CORONI   	1	16800	16/04/2025							
SPAGHETTI DORI   	1	2800	16/04/2025							
BASE MAGGI BOL   	1	4600	16/04/2025							
AGUA CRISTAL 1   	1	1800	16/04/2025							
AZUCAR RIOPAIL   	1	2800	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
SPRITE LIMA LI   	1	4500	16/04/2025							
PAPA CABELLO D   	1	4300	16/04/2025							
MIRRINGO X 1 K   	1	10550	16/04/2025							
PANELA PASTILL   	1	2700	16/04/2025							
ARROZ ROA LIBR   	1	2300	16/04/2025							
LENTEJA COORAT   	1	4100	16/04/2025							
HUEVO EXTRA UN   	6	600	16/04/2025							
ACEITE SOLISOY   	1	3950	16/04/2025							
SPAGUETTI LA M   	1	2100	16/04/2025							
HUEVO X 15 UND   	1	8550	16/04/2025							
SH PANTENE COL   	1	1000	16/04/2025							
AZUCAR EN SOBR   	1	7550	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
GATORADE TROPI   	1	3500	16/04/2025							
GATORADE TROPI   	1	3500	16/04/2025							
PH SCOTT MAXI    	1	22400	16/04/2025							
AGUARDIENTE NE   	1	12650	16/04/2025							
AGUARDIENTE NE   	1	12650	16/04/2025							
TOCINETA AHUMA   	1	7100	16/04/2025							
SUERO COSTE?O    	1	6750	16/04/2025							
SH SAVITAL MUL   	1	18850	16/04/2025							
SALCHICHA FRAN   	1	7950	16/04/2025							
SALCHICHA FRAN   	1	7950	16/04/2025							
CREMA DE LECHE   	1	5100	16/04/2025							
CAFE SELLO ROJ   	1	15800	16/04/2025							
LECHE COORA EN   	1	4600	16/04/2025							
QUESO CAMPESIN   	1	7850	16/04/2025							
QUESO D. CREMA   	1	7450	16/04/2025							
PA?O BON BRIL    	1	6350	16/04/2025							
BOLSA FAMILIAR   	1	6450	16/04/2025							
CHOCOLATE ZB C   	1	12200	16/04/2025							
ACEITE PREMIER   	1	14750	16/04/2025							
FABULOSO LAVAN   	1	4850	16/04/2025							
BICARBONATO X    	1	6650	16/04/2025							
CREMA COLGATE    	1	3900	16/04/2025							
CIGARRILLO L&M   	1	8500	16/04/2025							
CIGARRILLO L&M   	1	8500	16/04/2025							
CHOCOLATINA JU   	1	2400	16/04/2025							
CAFE SELLO ROJ   	1	4950	16/04/2025							
LECHE COORA EN   	1	20400	16/04/2025							
CHEESETRIS FAM   	1	3000	16/04/2025							
DONA AREQUIPE    	1	2850	16/04/2025							
TODO RICO B.Q    	1	2800	16/04/2025							
CHOCOLATINA SU   	1	2200	16/04/2025							
AVENA TONING H   	1	1950	16/04/2025							
MONSTER VERDE    	1	7900	16/04/2025							
QUESADILLO       	4	2700	16/04/2025							
LECHE COORA EN   	1	25200	16/04/2025							
ACEITE SOLISOY   	1	6800	16/04/2025							
MARGARINA LA P   	1	6650	16/04/2025							
VASO 6 ONZ DAR   	1	2200	16/04/2025							
VASO 6 ONZ DAR   	1	2200	16/04/2025							
SERVILLETAS NU   	1	2450	16/04/2025							
TOSTACOS PICAN   	1	6800	16/04/2025							
SEVEN UP H2Oh!   	1	2600	16/04/2025							
PEPSI PET 2.5    	1	5000	16/04/2025							
HARINA PAN BLA   	1	4100	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
VELA PEBETERO    	1	7350	16/04/2025							
VELA PEBETERO    	1	7350	16/04/2025							
CROISSANT EL C   	1	5500	16/04/2025							
PAN TAJADO GUA   	1	7000	16/04/2025							
DELICIAS MAGGI   	1	4600	16/04/2025							
BASE MAGGI BOL   	1	4600	16/04/2025							
FOSFOROS REFUE   	1	3750	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
PALILLOS EL SO   	1	850	16/04/2025							
MR TEA DURAZNO   	1	4900	16/04/2025							
CHORIZO RANCHE   	1	5600	16/04/2025							
ARROZ DIANA LI   	1	2350	16/04/2025							
CREMA PEINAR S   	1	3450	16/04/2025							
SH SAVITAL ANT   	1	3000	16/04/2025							
PH COORA T/HOJ   	1	14200	16/04/2025							
SERVILLETA FAM   	1	2450	16/04/2025							
ARROZ ROA KILO   	1	4600	16/04/2025							
AZUCAR MANUELI   	1	5250	16/04/2025							
AVENA SUPER HO   	1	4000	16/04/2025							
UVAS CHEVERES    	1	3300	16/04/2025							
AZUCAR RIOPAIL   	1	2800	16/04/2025							
LUCKY DAIQUIRI   	1	12800	16/04/2025							
PAN HAMBURGUES   	1	4200	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
ACEITE SOLISOY   	1	2300	16/04/2025							
MOGOLLA INTEGR   	1	8300	16/04/2025							
MARGARINA LA B   	1	2650	16/04/2025							
HARINA PAN BLA   	1	2350	16/04/2025							
PAPA MARGARITA   	1	21100	16/04/2025							
LECHE COORA EN   	1	25200	16/04/2025							
PAN GUADALUPRE   	1	6000	16/04/2025							
PONQUE RAMO TR   	1	5700	16/04/2025							
HUEVO A X 30 U   	1	13950	16/04/2025							
GALLETA TOSH M   	1	7950	16/04/2025							
GALLETA TOSH M   	1	8100	16/04/2025							
GALLETA TOSH M   	1	8100	16/04/2025							
GALLETA TOSH M   	1	8100	16/04/2025							
HARINA PAN DE    	1	5550	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
AGUA PURA CON    	1	3500	16/04/2025							
AGUA PURA CON    	1	3500	16/04/2025							
PH ROSAL XXG 3   	1	10950	16/04/2025							
CREMA COLGATE    	1	30500	16/04/2025							
GUANTE COORATI   	1	5350	16/04/2025							
LECHE COORA DE   	1	4800	16/04/2025							
LECHE COORA DE   	1	4800	16/04/2025							
LECHE COORA DE   	1	4800	16/04/2025							
SALVADO DE TRI   	1	4450	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
AGUA PURA CON    	1	3500	16/04/2025							
VINAGRE COORA    	1	2000	16/04/2025							
COCA COLA 1.5    	1	5700	16/04/2025							
YOGURTH GRIEGO   	1	15750	16/04/2025							
LECHE COORA EN   	1	25200	16/04/2025							
QUESO SABANA 1   	1	18000	16/04/2025							
LECHE LACTEO K   	1	8900	16/04/2025							
SALCHICHA PERR   	1	5650	16/04/2025							
SALCHICHA PERR   	1	5650	16/04/2025							
CREMA DE LECHE   	1	19200	16/04/2025							
LECHE LACTEO K   	1	8900	16/04/2025							
PAN SUPER PERR   	1	6500	16/04/2025							
SPAGHETTI DORI   	1	4900	16/04/2025							
AXION BARRA X    	1	2950	16/04/2025							
SALSA DE TOMAT   	1	2700	16/04/2025							
CEREAL CHOCO K   	1	21850	16/04/2025							
LECHE COORA DE   	1	4800	16/04/2025							
PAN BIMBO ARTE   	1	7000	16/04/2025							
CHOCO BROWNIE    	1	3000	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
PA?O ABRASIVO    	1	1000	16/04/2025							
LECHE COORA DE   	1	4800	16/04/2025							
CAT CHOW DELIC   	1	13750	16/04/2025							
PAPA MARGARITA   	1	2200	16/04/2025							
CAT CHOW DELIC   	1	14700	16/04/2025							
BROWNIE MR. BR   	1	3000	16/04/2025							
GALLETA COCOSE   	1	1800	16/04/2025							
AGUA CRISTAL 6   	1	3800	16/04/2025							
AGUA CRISTAL 6   	1	3800	16/04/2025							
AGUA CRISTAL P   	1	14200	16/04/2025							
JABON REXONA A   	1	3750	16/04/2025							
JABON PROTEX A   	1	3700	16/04/2025							
LISTERINE COOL   	1	21300	16/04/2025							
ARROZ CASANARE   	1	52800	16/04/2025							
PH FAMILIA EXP   	1	2550	16/04/2025							
CREMA COLGATE    	1	2350	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
CHEETOS TRISSI   	1	1600	16/04/2025							
NECTAR CALIFOR   	1	2500	16/04/2025							
GELATINA NUTRI   	1	1400	16/04/2025							
TROCIPOLLO CHE   	1	13100	16/04/2025							
GALLETA CHOKIS   	1	9550	16/04/2025							
GALLETA CHOKIS   	1	9550	16/04/2025							
PONQUE RAMITO    	1	7950	16/04/2025							
NECTAR CALIFOR   	1	12900	16/04/2025							
GOMAS GRISSLY    	1	8150	16/04/2025							
AGUA SAVILOE X   	1	2500	16/04/2025							
AGUA SAVILOE X   	1	2500	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
LECHE DO?A LEC   	1	2200	16/04/2025							
HARINA PRECOC    	1	1800	16/04/2025							
HARINA PRECOC    	1	1800	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
HUEVO A X 30 U   	1	13950	16/04/2025							
AGUARDIENTE NE   	1	11450	16/04/2025							
QUESO D.CREMA    	1	7450	16/04/2025							
DOVE ROLLON OR   	1	3600	16/04/2025							
RANCHERA 5 PAC   	1	5900	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
CHOCOLATE ZB C   	1	12200	16/04/2025							
JABON REY TRIO   	1	8150	16/04/2025							
LECHE COORA EN   	1	25200	16/04/2025							
HUEVO EXTRA X    	3	16950	16/04/2025							
CHOCORRAMO MIN   	1	13900	16/04/2025							
CHOCORRAMO MIN   	1	13900	16/04/2025							
COLADA MAIZENA   	1	1700	16/04/2025							
PAN TAJADO EL    	1	5000	16/04/2025							
LECHE COORA EN   	1	4600	16/04/2025							
HUEVO X 15 UND   	1	8550	16/04/2025							
AGUA H2OH 1.5    	1	4000	16/04/2025							
BESO DE NGRA X   	1	1000	16/04/2025							
YOGURT ALQUERI   	1	3900	16/04/2025							
PONQUE BIMBOLE   	1	1900	16/04/2025							
MANI LA ESPECI   	1	2700	16/04/2025							
YOGURT ALQUERI   	1	2400	16/04/2025							
COCA COLA 1.5    	1	5700	16/04/2025							
DORITOS X 34 G   	1	2000	16/04/2025							
PAPAS TOMATE O   	1	2000	16/04/2025							
MANI MOTO X 44   	1	1600	16/04/2025							
AGUA PURA CON    	1	3500	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
ARROZ CASANARE   	1	13500	16/04/2025							
MARGARINA LA B   	1	2350	16/04/2025							
HUEVO A BOLSA    	1	2500	16/04/2025							
HUEVO A X 30 U   	1	13950	16/04/2025							
AGUA BRISA MAN   	1	4000	16/04/2025							
COCA COLA EN L   	1	3500	16/04/2025							
CHICLE SUPER H   	1	1000	16/04/2025							
MARGARINA LA F   	1	2400	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
ACEITE RIQUISI   	1	6400	16/04/2025							
PANELA PASTILL   	1	2700	16/04/2025							
QUESO D.CREMA    	1	7450	16/04/2025							
JAMON SANDUCHE   	1	10500	16/04/2025							
AZUCAR RIOPAIL   	1	13150	16/04/2025							
DETER DERSA BI   	1	5100	16/04/2025							
TH ELLAS TELA    	1	5150	16/04/2025							
PANELA TOTUMAL   	1	2300	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
MARGARINA CAMP   	1	3600	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
GELATINA GELHA   	1	1800	16/04/2025							
GALLETA CAFECI   	1	3000	16/04/2025							
CHOCOLATINA JU   	1	5600	16/04/2025							
CONEJINA AGRIN   	1	3750	16/04/2025							
PASTA CABELL D   	1	1600	16/04/2025							
AVENA QUAKER X   	1	2050	16/04/2025							
BON YURT ALPIN   	1	3900	16/04/2025							
MANZANA CERO P   	1	3500	16/04/2025							
LECHE COORA EN   	1	4600	16/04/2025							
LECHE COORA EN   	1	4600	16/04/2025							
HUEVO X 15 UND   	1	8550	16/04/2025							
SH H&S COCO CJ   	1	1000	16/04/2025							
ARROZ BLANQUIT   	1	22000	16/04/2025							
MOGOLLA TRICER   	1	6700	16/04/2025							
GALLETA SALTIN   	1	6700	16/04/2025							
CREMA COLGATE    	1	4800	16/04/2025							
BOLSA PARA EMP   	1	300	16/04/2025							
CANELA EN ASTI   	1	3300	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
MARGARINA LA B   	1	2350	16/04/2025							
HUEVO EXTRA UN   	4	600	16/04/2025							
FARINA X 100 G   	1	2100	16/04/2025							
COLADA TONING    	1	4000	16/04/2025							
HARINA DE PLAT   	1	4700	16/04/2025							
JABON REY X 30   	1	2800	16/04/2025							
COLA Y POLA PE   	1	5200	16/04/2025							
AZUCAR RIOPAIL   	1	5300	16/04/2025							
ENJUAGUE BUCAL   	1	9300	16/04/2025							
HUEVO EXTRA X    	1	16950	16/04/2025							
ARROZ DIANA LI   	1	2350	16/04/2025							
