descripcion	canntidad	valor	fecha							
AGUA PURA CON    	1	3500	13/04/2025							
AGUA CRISTAL 3   	1	3500	13/04/2025							
JAMON SANDUCHE   	1	10500	13/04/2025							
RANCHERA X 230   	1	13100	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
AGUA PURA CON    	2	3500	13/04/2025							
AGUA PURA CON    	2	3500	13/04/2025							
ZUCARITAS X 11   	1	5450	13/04/2025							
P.WINNY ULTRAT   	1	37900	13/04/2025							
COLOR EL REY C   	1	1200	13/04/2025							
COCA COLA + QU   	1	14950	13/04/2025							
CHEESETRIS FAM   	1	3000	13/04/2025							
AGUILA LATA 35   	1	17900	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
BOCADILLO COMB   	1	1000	13/04/2025							
SPARKIES LINEA   	1	200	13/04/2025							
HALLS PEPA UNI   	1	250	13/04/2025							
CANELA MOLIDA    	1	2500	13/04/2025							
CAFE LUKAFE IN   	1	9450	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
ATUN DON BETO    	1	4450	13/04/2025							
COCA COLA MINI   	1	9400	13/04/2025							
HUEVO X 15 UND   	1	8400	13/04/2025							
HUEVO X 15 UND   	1	8400	13/04/2025							
SPARKIES UNIDA   	1	1500	13/04/2025							
DETODITO NATUR   	1	13550	13/04/2025							
SPARKIES UNIDA   	1	1500	13/04/2025							
SPARKIES UNIDA   	1	1500	13/04/2025							
SPARKIES UNIDA   	1	1500	13/04/2025							
GOMAS TRULULU    	1	2000	13/04/2025							
GOMAS TRULULU    	1	2000	13/04/2025							
MILLOWS PAW PA   	1	1500	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
CHOCORRAMO ESQ   	1	2700	13/04/2025							
SARDINAS EN AC   	1	12450	13/04/2025							
FELIX CLASSIC    	1	3200	13/04/2025							
FELIX CLASSIC    	1	3200	13/04/2025							
BIG PI?A X 160   	1	3300	13/04/2025							
JABON PUMA DAD   	1	2600	13/04/2025							
ESPONJILLON BO   	1	2900	13/04/2025							
AZUCAR PULVERI   	1	4600	13/04/2025							
CREMA CHANTILL   	1	6400	13/04/2025							
LECHE L.V UHT    	1	6300	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
NACHOS RAMO NA   	1	7500	13/04/2025							
ESCOBA COORA S   	1	8550	13/04/2025							
ARROZ DO?A PEP   	1	6000	13/04/2025							
QUATRO PET 3 L   	1	6300	13/04/2025							
LECHE DO?A LEC   	1	4200	13/04/2025							
LECHE DO?A LEC   	1	4200	13/04/2025							
AGUA CRISTAL 6   	1	3800	13/04/2025							
MR TEA LIMON C   	1	4900	13/04/2025							
HARINA DE TRIG   	1	2000	13/04/2025							
CERVEZA COSTE?   	1	2600	13/04/2025							
CERVEZA COSTE?   	1	2600	13/04/2025							
ADVIL ULTRA CA   	1	8300	13/04/2025							
MUSTANG AZUL X   	1	5600	13/04/2025							
PONY MALTA PET   	1	2300	13/04/2025							
CIGARRILLO L&M   	1	4300	13/04/2025							
CLUB COLOMBIA    	1	3200	13/04/2025							
CLUB COLOMBIA    	1	3200	13/04/2025							
TODO RICO B.Q    	1	2800	13/04/2025							
TODO RICO B.Q    	1	2800	13/04/2025							
AGUILA LATA X    	1	3250	13/04/2025							
LECHE SOYA TON   	1	9950	13/04/2025							
COCA COLA 1.5    	1	5700	13/04/2025							
PAPA MARGARITA   	1	2200	13/04/2025							
BASE MAGGI BEC   	1	4550	13/04/2025							
QUESO PARMESAN   	1	11550	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
TH STAYFRE ADP   	1	3750	13/04/2025							
MORITAS COLOMB   	1	6750	13/04/2025							
AJO CHAPETA EL   	1	1300	13/04/2025							
SALSA BAR B-Q    	1	1700	13/04/2025							
AGUA BRISA MAN   	1	1300	13/04/2025							
HUEVO AA X 30    	1	14750	13/04/2025							
DURAZNO COORAT   	1	9400	13/04/2025							
AZUCAR MANUELI   	1	2600	13/04/2025							
PLATOS ICOPOR    	1	6950	13/04/2025							
CREMA COLGATE    	1	3900	13/04/2025							
JABON DOVE STD   	1	4100	13/04/2025							
JABON PALMOLIV   	1	3600	13/04/2025							
DESOD BALANCE    	1	1300	13/04/2025							
DESOD BALANCE    	1	1300	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
QUATRO X 250 M   	1	1500	13/04/2025							
ACEITE GOURMET   	1	16500	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
VELADORA BELLA   	1	2600	13/04/2025							
VELADORA BELLA   	1	2600	13/04/2025							
HIELO ARTICO X   	1	4500	13/04/2025							
HIELO ARTICO X   	1	4500	13/04/2025							
PALILLOS EL SO   	1	850	13/04/2025							
PALILLOS EL SO   	1	850	13/04/2025							
AGUA BRISA PET   	1	1500	13/04/2025							
PROMASA AMARIL   	1	4150	13/04/2025							
LENTEJA COORAT   	1	4100	13/04/2025							
CAFE SELLO ROJ   	1	15800	13/04/2025							
AZUCAR MANUELI   	1	12950	13/04/2025							
VASO 5 ONZAS T   	1	2200	13/04/2025							
VASO 5 ONZAS T   	1	2200	13/04/2025							
COCA COLA ZERO   	1	2200	13/04/2025							
AGUA CIELO 620   	1	9650	13/04/2025							
HIT 500 SURTID   	1	24100	13/04/2025							
BIG COLA PACA    	1	13850	13/04/2025							
AGUA CIELO 620   	1	9650	13/04/2025							
COCA COLA 400    	1	26600	13/04/2025							
AGUA CRISTAL 6   	1	3800	13/04/2025							
AGUA BRISA PET   	1	1500	13/04/2025							
COSTE?A BACANA   	1	15600	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
COSTE?A BACANA   	1	15600	13/04/2025							
COSTE?A LATA 3   	1	12050	13/04/2025							
AGUA DELLA FON   	1	7850	13/04/2025							
CHEETOS MAXI N   	1	1600	13/04/2025							
CHEETOS TRISSI   	1	1600	13/04/2025							
ALCAPARRAS DCO   	1	4900	13/04/2025							
MOGOLLA MANTEQ   	1	5400	13/04/2025							
KUMIS ALPINA B   	1	8550	13/04/2025							
HOJUELA DE MAI   	1	4900	13/04/2025							
AGUA PURA CON    	1	3500	13/04/2025							
COSTE?A BACANA   	1	15600	13/04/2025							
COCA COLA 1.5    	1	5700	13/04/2025							
SALSA AJO BARY   	1	3000	13/04/2025							
AGUA CRISTAL P   	1	14200	13/04/2025							
BOTELLONES 20    	1	14150	13/04/2025							
ATUN SOBERANA    	1	6200	13/04/2025							
